Date,Price,Type,Index,Diff_Percent
2020-01-03 01:57:00,125.52,Low,1600195,-8.944504896626771
2020-01-08 00:57:00,148.0,High,1607164,17.909496494582534
2020-01-09 16:31:00,135.12,Low,1609495,-8.702702702702702
2020-01-14 18:14:00,170.83,High,1616605,26.42835997631736
2020-01-14 21:06:00,160.59,Low,1616777,-5.994263302698599
2020-01-15 00:49:00,172.18,High,1617000,7.21713680802043
2020-01-15 05:12:00,159.13,Low,1617263,-7.579277500290404
2020-01-15 13:58:00,168.7,High,1617787,6.013950857789219
2020-01-16 01:35:00,158.17,Low,1618484,-6.241849436870184
2020-01-17 08:15:00,174.52,High,1620306,10.336979199595397
2020-01-17 14:31:00,164.93,Low,1620682,-5.495072198028883
2020-01-18 14:42:00,179.32,High,1622122,8.72491359970895
2020-01-20 13:15:00,161.1,Low,1624881,-10.16060673656034
2020-01-22 07:25:00,171.05,High,1627374,6.176288019863452
2020-01-24 11:11:00,154.48,Low,1630445,-9.687225957322433
2020-01-30 23:02:00,186.89,High,1639529,20.98006214396686
2020-01-31 13:17:00,175.0,Low,1640383,-6.362031141313063
2020-02-03 01:35:00,195.21,High,1643988,11.548571428571442
2020-02-04 12:31:00,184.29,Low,1646070,-5.593975718457056
2020-02-06 13:07:00,216.49,High,1648980,17.47246188073146
2020-02-06 13:49:00,205.41,Low,1649022,-5.11801930805118
2020-02-07 11:29:00,224.78,High,1650322,9.429920646511846
2020-02-08 03:13:00,213.24,Low,1651266,-5.133908710739387
2020-02-09 07:46:00,230.9,High,1652979,8.281748264865874
2020-02-10 09:27:00,216.31,Low,1654516,-6.318752706799479
2020-02-12 21:09:00,276.15,High,1658098,27.66400073967916
2020-02-13 08:33:00,253.75,Low,1658782,-8.111533586818753
2020-02-13 13:41:00,278.01,High,1659090,9.560591133004914
2020-02-14 07:38:00,260.13,Low,1660167,-6.431423330096042
2020-02-15 00:37:00,290.0,High,1661186,11.482720178372352
2020-02-15 15:54:00,266.57,Low,1662103,-8.079310344827583
2020-02-15 16:03:00,280.0,High,1662112,5.038076302659711
2020-02-16 00:10:00,258.0,Low,1662599,-7.857142857142863
2020-02-16 02:51:00,274.0,High,1662760,6.20155038759691
2020-02-16 16:53:00,236.37,Low,1663601,-13.733576642335766
2020-02-16 23:50:00,263.85,High,1664018,11.625840842746559
2020-02-17 04:45:00,242.36,Low,1664313,-8.144779230623467
2020-02-19 17:30:00,287.13,High,1667957,18.472520217857724
2020-02-19 21:49:00,250.0,Low,1668216,-12.931424790164737
2020-02-19 22:32:00,266.89,High,1668259,6.755999999999984
2020-02-20 13:04:00,246.67,Low,1669128,-7.576154970212445
2020-02-20 14:48:00,259.53,High,1669232,5.213443061580247
2020-02-20 16:38:00,245.25,Low,1669342,-5.5022540746734405
2020-02-24 00:38:00,278.13,High,1674136,13.406727828746167
2020-02-26 16:45:00,215.33,Low,1677983,-22.579369359651956
2020-02-26 18:58:00,232.52,High,1678116,7.983095713555932
2020-02-27 01:15:00,209.26,Low,1678493,-10.003440564252541
2020-02-27 16:48:00,239.0,High,1679426,14.211985090318269
2020-02-27 22:11:00,222.2,Low,1679749,-7.029288702928871
2020-02-28 02:12:00,234.9,High,1679990,5.715571557155719
2020-02-28 12:20:00,213.63,Low,1680598,-9.054916985951477
2020-02-29 05:12:00,233.32,High,1681610,9.21687028975331
2020-03-01 01:14:00,215.99,Low,1682812,-7.4275672895594
2020-03-01 12:03:00,227.99,High,1683460,5.55581276910968
2020-03-01 19:02:00,211.5,Low,1683878,-7.232773367252953
2020-03-02 17:25:00,234.5,High,1685221,10.874704491725762
2020-03-03 16:35:00,220.0,Low,1686610,-6.183368869936034
2020-03-07 16:39:00,253.01,High,1692368,15.00454545454546
2020-03-08 16:26:00,203.0,Low,1693786,-19.76601715347219
2020-03-08 17:50:00,218.64,High,1693870,7.704433497536933
2020-03-08 23:50:00,196.0,Low,1694230,-10.354921331869738
2020-03-09 00:02:00,208.0,High,1694242,6.1224489795918435
2020-03-09 04:20:00,196.07,Low,1694500,-5.735576923076923
2020-03-09 08:44:00,208.65,High,1694764,6.41607589126334
2020-03-09 15:41:00,189.85,Low,1695181,-9.010304337407149
2020-03-10 12:51:00,206.28,High,1696450,8.654200684751112
2020-03-11 18:17:00,181.0,Low,1698215,-12.255187124297073
2020-03-11 23:03:00,196.58,High,1698501,8.607734806629841
2020-03-12 10:48:00,126.28,Low,1699206,-35.761522026655825
2020-03-12 10:49:00,153.85,High,1699207,21.832435856826105
2020-03-12 10:50:00,133.83,Low,1699208,-13.012674683132907
2020-03-12 10:51:00,150.0,High,1699209,12.082492714637972
2020-03-12 10:52:00,139.43,Low,1699210,-7.046666666666656
2020-03-12 10:56:00,152.06,High,1699214,9.058308828802986
2020-03-12 11:00:00,126.29,Low,1699218,-16.94725766144942
2020-03-12 11:10:00,151.19,High,1699228,19.716525457280866
2020-03-12 11:12:00,136.34,Low,1699230,-9.822078179773786
2020-03-12 11:14:00,144.63,High,1699232,6.080387267126297
2020-03-12 11:15:00,137.0,Low,1699233,-5.27553066445412
2020-03-12 11:16:00,145.0,High,1699234,5.8394160583941535
2020-03-12 11:44:00,130.23,Low,1699262,-10.186206896551731
2020-03-12 12:19:00,144.63,High,1699297,11.057360055286814
2020-03-12 13:37:00,126.0,Low,1699375,-12.881144990665838
2020-03-12 14:39:00,144.0,High,1699437,14.28571428571428
2020-03-12 16:10:00,134.53,Low,1699528,-6.576388888888884
2020-03-12 17:07:00,146.17,High,1699585,8.652345201813706
2020-03-12 20:51:00,124.04,Low,1699809,-15.139905589382218
2020-03-12 20:58:00,131.09,High,1699816,5.683650435343446
2020-03-12 21:26:00,122.83,Low,1699844,-6.301014570142649
2020-03-12 22:10:00,134.25,High,1699888,9.29740291459742
2020-03-12 23:24:00,110.54,Low,1699962,-17.661080074487888
2020-03-12 23:25:00,116.17,High,1699963,5.09317893975032
2020-03-12 23:28:00,101.22,Low,1699966,-12.869071188775072
2020-03-12 23:30:00,117.55,High,1699968,16.133175261805977
2020-03-12 23:31:00,103.5,Low,1699969,-11.952360697575493
2020-03-12 23:32:00,116.5,High,1699970,12.56038647342994
2020-03-12 23:34:00,104.5,Low,1699972,-10.300429184549353
2020-03-12 23:42:00,111.0,High,1699980,6.2200956937799035
2020-03-12 23:47:00,105.0,Low,1699985,-5.405405405405405
2020-03-12 23:52:00,116.3,High,1699990,10.76190476190475
2020-03-12 23:54:00,105.32,Low,1699992,-9.44110060189166
2020-03-13 00:03:00,117.5,High,1700001,11.56475503228258
2020-03-13 00:48:00,102.92,Low,1700046,-12.408510638297876
2020-03-13 01:07:00,110.99,High,1700065,7.841041585697628
2020-03-13 02:02:00,94.53,Low,1700120,-14.830164879718888
2020-03-13 02:04:00,102.47,High,1700122,8.399449910081458
2020-03-13 02:15:00,90.0,Low,1700133,-12.169415438664977
2020-03-13 02:20:00,100.8,High,1700138,11.99999999999999
2020-03-13 02:24:00,94.04,Low,1700142,-6.706349206349193
2020-03-13 02:28:00,106.19,High,1700146,12.920034028073157
2020-03-13 02:29:00,96.92,Low,1700147,-8.729635558903848
2020-03-13 02:32:00,127.0,High,1700150,31.03590590177465
